department_name,department_cnes_code,saude_digital_department_id,department_type,is_remote
AMBULATORIO VIRTUAL DO AMAZONAS,197130,f24835c2-ce80-40ed-aa06-72f399442074,FULLINTEGRATION,t
CAIC AFRANIO SOARES,2017210,20b77e5a-ca2c-49b7-82ff-454015a4caa7,FULLINTEGRATION,f
CAIC ALBERTO CARREIRA,2011824,3804e865-6fe3-4497-b035-b6ac40fd47fa,FULLINTEGRATION,f
CAIC ANA MARIA DOS SANTOS PEREIRA BRAGA,2018527,feace9c8-1c7d-4b22-9b44-22afd5a35946,FULLINTEGRATION,f
CAIC DRA JOSEPHINA DE MELLO,2018519,321b8ff9-8c79-46e9-9ec6-2cc4f062f740,FULLINTEGRATION,f
CAIC DRA MARIA HELENA FREITAS DE GOES,2016982,d9281b2a-e00b-4e54-a836-e1ba0a13f911,FULLINTEGRATION,f
CAIC DR JOSE CONTENTE,2013738,94a465f6-23b4-4825-b807-dd7646564b92,FULLINTEGRATION,f
CAIC DR MOURA TAPAJOZ,2013592,ba7dcb93-90db-45aa-966d-009e94750461,FULLINTEGRATION,f
CAIC JOSE CARLOS MESTRINHO,2011840,b502fe5f-bc55-418a-b5e1-568d463fe175,FULLINTEGRATION,f
CAIMI ADA RODRIGUES VIANA,3212270,0b90e2fd-3747-441a-bcc2-426fec900768,FULLINTEGRATION,f
CAIMI DR PAULO LIMA,2012057,a512c2c8-c840-4189-88bd-a06fad9947cf,FULLINTEGRATION,f
CER II PROFESSOR ROLLS GRACIE FISICO E INTELECTUAL,5889545,0bb89aeb-28da-4df2-bd9f-e2843ba93bb0,FULLINTEGRATION,f
COMPLEXO REGULADOR DO AMAZONAS,5726832,1def09cd-f850-4947-a1ee-aa59e1bf11c4,PARTIALINTEGRATION,f
FUNDACAO DE MEDICINA TROPICAL,2013606,e73a0efa-1e0f-4859-bc20-485562c1299c,FULLINTEGRATION,f
POLICLINICA CODAJAS,2018756,81028c06-7e44-48cc-aea0-4e44b38da61d,FULLINTEGRATION,f
POLICLINICA DA POLICIA MILITAR TENENTE WEBER,7778651,f1536f16-267a-419d-9705-2b48df645b18,FULLINTEGRATION,f
POLICLINICA JOAO DOS SANTOS BRAGA,3500179,6f250595-a5f6-40db-a53f-cd2a7890a519,FULLINTEGRATION,f
POLICLINICA ZENO LANZINI,3042626,cfd44a8d-d4a6-40c5-a782-95c3e21ae312,FULLINTEGRATION,f
SPA E POLICLINICA DR JOSE LINS,5222710,72edb1af-a4ef-4822-8528-f7c8aee4e863,FULLINTEGRATION,f
USF AJURICABA,2704951,70ca1d2e-a372-4225-b263-5bc1a4a2bb1b,FULLINTEGRATION,f
USF AUGIAS GADELHA,2014750,7fbc3922-5c76-490f-b04a-1eb76e2d76d3,FULLINTEGRATION,f
USF DEODATO DE MIRANDA LEAO,2013479,c98b2697-65fb-4a7c-932e-aaacc8bae287,FULLINTEGRATION,f
USF DR ALFREDO CAMPOS,2013916,58501e5e-72f6-4709-8fb2-3234990bb8c6,FULLINTEGRATION,f
USF DR JOSE FIGLIUOLO,7594372,c46be4a1-8cd8-49bd-a840-6d1d5b034657,FULLINTEGRATION,f
USF DR WALDIR BUGALHO DE MEDEIROS,2013878,aa03387c-4530-401c-a20e-c450e7559eb0,FULLINTEGRATION,f
USF LUCIO FLAVIO DE VASCONCELOS DIAS,2013002,3d1a0309-a01c-4617-b1ac-5031f10bb69a,FULLINTEGRATION,f
USF SANTA LUZIA,2013517,b4c57e7a-6e7b-4efa-bc9c-fc2774fb02ab,FULLINTEGRATION,f
USF SAO VICENTE DE PAULO,2014769,6d4f4128-332a-4c9c-b93a-ccc001d917e6,FULLINTEGRATION,f
